tweets,target
our deeds are the reason of this #earthquake may allah forgive us all,1
forest fire near la ronge sask. canada,1
all residents asked to 'shelter in place' are being notified by officers. no other evacuation or shelter in place orders are expected,1
"13,000 people receive #wildfires evacuation orders in california ",1
just got sent this photo from ruby #alaska as smoke from #wildfires pours into a school ,1
#rockyfire update => california hwy. 20 closed in both directions due to lake county fire - #cafire #wildfires,1
"#flood #disaster heavy rain causes flash flooding of streets in manitou, colorado springs areas",1
i'm on top of the hill and i can see a fire in the woods...,1
there's an emergency evacuation happening now in the building across the street,1
i'm afraid that the tornado is coming to our area...,1
three people died from the heat wave so far,1
haha south tampa is getting flooded hah- wait a second i live in south tampa what am i gonna do what am i gonna do fvck #flooding,1
#raining #flooding #florida #tampabay #tampa 18 or 19 days. i've lost count ,1
#flood in bago myanmar #we arrived bago,1
damage to school bus on 80 in multi car crash #breaking ,1
what's up man?,0
i love fruits,0
summer is lovely,0
my car is so fast,0
what a goooooooaaaaaal!!!!!!,0
this is ridiculous....,0
london is cool ;),0
love skiing,0
what a wonderful day!,0
looooool,0
no way...i can't eat that shit,0
was in nyc last week!,0
love my girlfriend,0
cooool :),0
do you like pasta?,0
the end!,0
@bbcmtd wholesale markets ablaze http://t.co/lhyxeohy6c,1
we always try to bring the heavy. #metal #rt http://t.co/yao1e0xngw,0
#africanbaze: breaking news:nigeria flag set ablaze in aba. http://t.co/2nndbgwyei,1
crying out for more! set me ablaze,0
on plus side look at the sky last night it was ablaze http://t.co/qqsmshaj3n,0
@phdsquares #mufc they've built so much hype around new acquisitions but i doubt they will set the epl ablaze this season.,0
inec office in abia set ablaze - http://t.co/3imaomknna,1
barbados #bridgetown jamaica â‰ã›ã’ two cars set ablaze: santa cruz â‰ã›ã“ head of the st elizabeth police superintende...  http://t.co/wdueaj8q4j,1
ablaze for you lord :d,0
check these out: http://t.co/roi2nsmejj http://t.co/3tj8zjin21 http://t.co/yduixefipe http://t.co/lxtjc87kls #nsfw,0
"on the outside you're ablaze and alive
but you're dead inside",0
had an awesome time visiting the cfc head office the ancop site and ablaze. thanks to tita vida for taking care of us ??,0
soooo pumped for ablaze ???? @southridgelife,0
i wanted to set chicago ablaze with my preaching... but not my hotel! http://t.co/o9qknbfofx,0
i gained 3 followers in the last week. you? know your stats and grow with http://t.co/tiyulif5c6,0
how the west was burned: thousands of wildfires ablaze in california alone http://t.co/vl5tbr3wbr,1
building the perfect tracklist to life leave the streets ablaze,0
